minuto,time,tipo,jogador,assist,placar_momento,descricao,Resultado,Data,IdJogo
73,Atletico MG,16,Alisson,Eduardo Vargas,1-2,"GOAL! Alisson scores , Assisted by Eduardo Vargas (Low to the left, 18-yard box, Big Chance, Left footed, Open play)",2-3,"Wed, 27-Nov-24",Atletico MG x Juventude
78,Atletico MG,18,Mauricio Lemos,,,Mauricio Lemos is substituted off,2-3,"Wed, 27-Nov-24",Atletico MG x Juventude
78,Atletico MG,19,Deyverson,,,Deyverson is substituted on,2-3,"Wed, 27-Nov-24",Atletico MG x Juventude
81,Atletico MG,16,Eduardo Vargas,,2-2,"GOAL! Eduardo Vargas scores  (Low to the left, 18-yard box, Big Chance, Penalty, Right footed)",2-3,"Wed, 27-Nov-24",Atletico MG x Juventude
82,Atletico MG,18,Brahian Palacios,,,Brahian Palacios is substituted off,2-3,"Wed, 27-Nov-24",Atletico MG x Juventude
82,Atletico MG,19,Gustavo Scarpa,,,Gustavo Scarpa is substituted on,2-3,"Wed, 27-Nov-24",Atletico MG x Juventude
86,Juventude,18,Ewerthon,,,Ewerthon is substituted off,2-3,"Wed, 27-Nov-24",Atletico MG x Juventude
86,Juventude,19,Zé Marcos,,,Zé Marcos is substituted on,2-3,"Wed, 27-Nov-24",Atletico MG x Juventude
90+2,Juventude,1,Luís Oyama,,,"Luís Oyama assists a goal (Through Ball, Key pass, Open play)",2-3,"Wed, 27-Nov-24",Atletico MG x Juventude
90+2,Juventude,16,Erick Farias,Luís Oyama,2-3,"GOAL! Erick Farias scores , Assisted by Luís Oyama (Low to the right, 18-yard box, Big Chance, Left footed, Open play)",2-3,"Wed, 27-Nov-24",Atletico MG x Juventude
12,Botafogo RJ,18,Bastos,,,Bastos is substituted off,1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
12,Botafogo RJ,19,Adryelson,,,Adryelson is substituted on,1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
19,Botafogo RJ,1,Thiago Almada,,,"Thiago Almada assists a goal (Standing, Key pass, From corner)",1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
19,Botafogo RJ,16,Gregore,Thiago Almada,0-1,"GOAL! Gregore scores , Assisted by Thiago Almada (Standing, High to the right, 18-yard box, Right footed, From corner)",1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
45+3,Botafogo RJ,17,Alex Telles,,,Alex Telles recieves a yellow card,1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
46,Palmeiras,18,Felipe Anderson,,,Felipe Anderson is substituted off,1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
46,Palmeiras,19,José López,,,José López is substituted on,1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
46,Botafogo RJ,17,Alexander Barboza,,,Alexander Barboza recieves a yellow card,1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
58,Botafogo RJ,17,John,,,John recieves a yellow card,1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
62,Palmeiras,18,Rony,,,Rony is substituted off,1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
62,Palmeiras,19,Dudu,,,Dudu is substituted on,1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
62,Palmeiras,18,Aníbal Moreno,,,Aníbal Moreno is substituted off,1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
62,Palmeiras,19,Maurício,,,Maurício is substituted on,1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
62,Botafogo RJ,17,Thiago Almada,,,Thiago Almada recieves a yellow card,1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
66,Botafogo RJ,18,Alex Telles,,,Alex Telles is substituted off,1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
66,Botafogo RJ,19,Marçal,,,Marçal is substituted on,1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
66,Botafogo RJ,18,Luiz Henrique,,,Luiz Henrique is substituted off,1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
66,Botafogo RJ,19,Matheus Martins,,,Matheus Martins is substituted on,1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
70,Palmeiras,17,Marcos Rocha,,,Marcos Rocha recieves a red card,1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
73,Botafogo RJ,1,Igor Jesus,,,"Igor Jesus assists a goal (Headed, Key pass, Open play)",1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
73,Botafogo RJ,16,Jefferson Savarino,Igor Jesus,0-2,"GOAL! Jefferson Savarino scores , Assisted by Igor Jesus (Standing, Low to the right, 18-yard box, Big Chance, Right footed, Open play)",1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
75,Palmeiras,18,Raphael Veiga,,,Raphael Veiga is substituted off,1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
75,Palmeiras,19,Mayke,,,Mayke is substituted on,1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
77,Botafogo RJ,18,Igor Jesus,,,Igor Jesus is substituted off,1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
77,Botafogo RJ,19,Júnior Santos,,,Júnior Santos is substituted on,1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
77,Botafogo RJ,18,Thiago Almada,,,Thiago Almada is substituted off,1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
77,Botafogo RJ,19,Eduardo,,,Eduardo is substituted on,1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
81,Palmeiras,18,Estêvão,,,Estêvão is substituted off,1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
81,Palmeiras,19,Gabriel Menino,,,Gabriel Menino is substituted on,1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
83,Palmeiras,17,Mayke,,,Mayke recieves a yellow card,1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
89,Botafogo RJ,1,Jefferson Savarino,,,"Jefferson Savarino assists a goal (Standing, Cross, Corner, Off the ground, Long Ball, Key pass, Right footed, From corner)",1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
89,Botafogo RJ,16,Adryelson,Jefferson Savarino,0-3,"GOAL! Adryelson scores , Assisted by Jefferson Savarino (Low to the left, 18-yard box, Big Chance, Head, From corner)",1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
90+2,Palmeiras,16,Richard Ríos,,1-3,"GOAL! Richard Ríos scores  (Standing, Low to the right, Out of box, Right footed, Set piece)",1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
90+5,Palmeiras,17,Gustavo Gómez,,,Gustavo Gómez recieves a yellow card,1-3,"Wed, 27-Nov-24",Palmeiras x Botafogo RJ
19,Gremio,1,João Pedro,,,"João Pedro assists a goal (Standing, Key pass, Open play)",1-1,"Thu, 28-Nov-24",Cruzeiro x Gremio
19,Gremio,16,Martin Braithwaite,João Pedro,0-1,"GOAL! Martin Braithwaite scores , Assisted by João Pedro (Standing, Low to the centre, 6-yard box, Big Chance, Right footed, Open play)",1-1,"Thu, 28-Nov-24",Cruzeiro x Gremio
34,Cruzeiro,17,William,,,William recieves a yellow card,1-1,"Thu, 28-Nov-24",Cruzeiro x Gremio
42,Cruzeiro,1,Gabriel Veron,,,"Gabriel Veron assists a goal (Standing, Off the ground, Key pass, Open play)",1-1,"Thu, 28-Nov-24",Cruzeiro x Gremio
42,Cruzeiro,16,Matheus Pereira,Gabriel Veron,1-1,"GOAL! Matheus Pereira scores , Assisted by Gabriel Veron (Standing, Low to the left, 18-yard box, Right footed, Open play)",1-1,"Thu, 28-Nov-24",Cruzeiro x Gremio
46,Gremio,18,Franco Cristaldo,,,Franco Cristaldo is substituted off,1-1,"Thu, 28-Nov-24",Cruzeiro x Gremio
46,Gremio,19,Miguel Monsalve,,,Miguel Monsalve is substituted on,1-1,"Thu, 28-Nov-24",Cruzeiro x Gremio
66,Gremio,17,Jemerson,,,Jemerson recieves a yellow card,1-1,"Thu, 28-Nov-24",Cruzeiro x Gremio
69,Gremio,18,Yeferson Soteldo,,,Yeferson Soteldo is substituted off,1-1,"Thu, 28-Nov-24",Cruzeiro x Gremio
69,Gremio,19,Cristian Pavón,,,Cristian Pavón is substituted on,1-1,"Thu, 28-Nov-24",Cruzeiro x Gremio
69,Gremio,18,Alexander Aravena,,,Alexander Aravena is substituted off,1-1,"Thu, 28-Nov-24",Cruzeiro x Gremio
69,Gremio,19,Edenílson,,,Edenílson is substituted on,1-1,"Thu, 28-Nov-24",Cruzeiro x Gremio
74,Cruzeiro,18,Álvaro Barreal,,,Álvaro Barreal is substituted off,1-1,"Thu, 28-Nov-24",Cruzeiro x Gremio
74,Cruzeiro,19,Japa,,,Japa is substituted on,1-1,"Thu, 28-Nov-24",Cruzeiro x Gremio
74,Cruzeiro,18,Gabriel Veron,,,Gabriel Veron is substituted off,1-1,"Thu, 28-Nov-24",Cruzeiro x Gremio
74,Cruzeiro,19,Kenji,,,Kenji is substituted on,1-1,"Thu, 28-Nov-24",Cruzeiro x Gremio
78,Cruzeiro,18,Lautaro Díaz,,,Lautaro Díaz is substituted off,1-1,"Thu, 28-Nov-24",Cruzeiro x Gremio
78,Cruzeiro,19,Tevis Gabriel,,,Tevis Gabriel is substituted on,1-1,"Thu, 28-Nov-24",Cruzeiro x Gremio
82,Gremio,18,Martin Braithwaite,,,Martin Braithwaite is substituted off,1-1,"Thu, 28-Nov-24",Cruzeiro x Gremio
82,Gremio,19,Diego Costa,,,Diego Costa is substituted on,1-1,"Thu, 28-Nov-24",Cruzeiro x Gremio
83,Gremio,18,Dodi,,,Dodi is substituted off,1-1,"Thu, 28-Nov-24",Cruzeiro x Gremio
83,Gremio,19,Pepê,,,Pepê is substituted on,1-1,"Thu, 28-Nov-24",Cruzeiro x Gremio
90+1,Cruzeiro,18,Lucas Silva,,,Lucas Silva is substituted off,1-1,"Thu, 28-Nov-24",Cruzeiro x Gremio
90+1,Cruzeiro,19,Mateus Vital,,,Mateus Vital is substituted on,1-1,"Thu, 28-Nov-24",Cruzeiro x Gremio
90+3,Cruzeiro,17,Lucas Romero,,,Lucas Romero recieves a yellow card,1-1,"Thu, 28-Nov-24",Cruzeiro x Gremio
16,Cuiaba,1,Isidro Pitta,,,"Isidro Pitta assists a goal (Key pass, Throw-in)",1-2,"Sat, 30-Nov-24",Cuiaba x Bahia
16,Cuiaba,16,Eliel,Isidro Pitta,1-0,"GOAL! Eliel scores , Assisted by Isidro Pitta (Low to the left, 6-yard box, Big Chance, Left footed, Throw-in)",1-2,"Sat, 30-Nov-24",Cuiaba x Bahia
23,Cuiaba,17,Max,,,Max recieves a yellow card,1-2,"Sat, 30-Nov-24",Cuiaba x Bahia
37,Bahia,1,Jean Lucas,,,"Jean Lucas assists a goal (Key pass, Open play)",1-2,"Sat, 30-Nov-24",Cuiaba x Bahia
37,Bahia,16,Ademir,Jean Lucas,1-1,"GOAL! Ademir scores , Assisted by Jean Lucas (Low to the right, 6-yard box, Big Chance, Left footed, Open play)",1-2,"Sat, 30-Nov-24",Cuiaba x Bahia
46,Bahia,18,Éverton Ribeiro,,,Éverton Ribeiro is substituted off,1-2,"Sat, 30-Nov-24",Cuiaba x Bahia
46,Bahia,19,Biel,,,Biel is substituted on,1-2,"Sat, 30-Nov-24",Cuiaba x Bahia
46,Bahia,18,Caio Alexandre,,,Caio Alexandre is substituted off,1-2,"Sat, 30-Nov-24",Cuiaba x Bahia
46,Bahia,19,Nicolás Acevedo,,,Nicolás Acevedo is substituted on,1-2,"Sat, 30-Nov-24",Cuiaba x Bahia
66,Cuiaba,18,Max,,,Max is substituted off,1-2,"Sat, 30-Nov-24",Cuiaba x Bahia
66,Cuiaba,19,Railan,,,Railan is substituted on,1-2,"Sat, 30-Nov-24",Cuiaba x Bahia
66,Cuiaba,18,Eliel,,,Eliel is substituted off,1-2,"Sat, 30-Nov-24",Cuiaba x Bahia
66,Cuiaba,19,Jadson,,,Jadson is substituted on,1-2,"Sat, 30-Nov-24",Cuiaba x Bahia
72,Cuiaba,17,Fernando Sobral,,,Fernando Sobral recieves a yellow card,1-2,"Sat, 30-Nov-24",Cuiaba x Bahia
72,Bahia,18,Ademir,,,Ademir is substituted off,1-2,"Sat, 30-Nov-24",Cuiaba x Bahia
72,Bahia,19,Everaldo,,,Everaldo is substituted on,1-2,"Sat, 30-Nov-24",Cuiaba x Bahia
72,Bahia,18,Jean Lucas,,,Jean Lucas is substituted off,1-2,"Sat, 30-Nov-24",Cuiaba x Bahia
72,Bahia,19,Thaciano,,,Thaciano is substituted on,1-2,"Sat, 30-Nov-24",Cuiaba x Bahia
72,Bahia,18,Gilberto,,,Gilberto is substituted off,1-2,"Sat, 30-Nov-24",Cuiaba x Bahia
72,Bahia,19,Santiago Arias,,,Santiago Arias is substituted on,1-2,"Sat, 30-Nov-24",Cuiaba x Bahia
80,Cuiaba,17,Isidro Pitta,,,Isidro Pitta recieves a yellow card,1-2,"Sat, 30-Nov-24",Cuiaba x Bahia
81,Cuiaba,18,Fernando Sobral,,,Fernando Sobral is substituted off,1-2,"Sat, 30-Nov-24",Cuiaba x Bahia
81,Cuiaba,19,Denilson,,,Denilson is substituted on,1-2,"Sat, 30-Nov-24",Cuiaba x Bahia
81,Cuiaba,18,Clayson,,,Clayson is substituted off,1-2,"Sat, 30-Nov-24",Cuiaba x Bahia
81,Cuiaba,19,Jonathan Cafú,,,Jonathan Cafú is substituted on,1-2,"Sat, 30-Nov-24",Cuiaba x Bahia
83,Bahia,1,Cauly,,,"Cauly assists a goal (Key pass, Open play)",1-2,"Sat, 30-Nov-24",Cuiaba x Bahia
84,Bahia,16,Luciano Rodríguez,,1-2,"GOAL! Luciano Rodríguez scores , Assisted by Cauly (Low to the right, 6-yard box, Right footed, Open play)",1-2,"Sat, 30-Nov-24",Cuiaba x Bahia
85,Bahia,17,Luciano Rodríguez,,,Luciano Rodríguez recieves a yellow card,1-2,"Sat, 30-Nov-24",Cuiaba x Bahia
90,Cuiaba,17,Jonathan Cafú,,,Jonathan Cafú recieves a yellow card,1-2,"Sat, 30-Nov-24",Cuiaba x Bahia
90,Cuiaba,18,Matheus Alexandre,,,Matheus Alexandre is substituted off,1-2,"Sat, 30-Nov-24",Cuiaba x Bahia
90,Cuiaba,19,David,,,David is substituted on,1-2,"Sat, 30-Nov-24",Cuiaba x Bahia
30,Criciuma,1,Dudu,,,"Dudu assists a goal (Cross, Off the ground, Key pass, Right footed, Open play)",2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
30,Criciuma,16,Yannick Bolasie,Dudu,1-0,"GOAL! Yannick Bolasie scores , Assisted by Dudu (Low to the right, 18-yard box, Big Chance, Right footed, Open play)",2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
38,Criciuma,1,Barreto,,,"Barreto assists a goal (Key pass, Throw-in)",2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
38,Criciuma,16,Yannick Bolasie,Barreto,2-0,"GOAL! Yannick Bolasie scores , Assisted by Barreto (Low to the right, 18-yard box, Right footed, Throw-in)",2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
56,Criciuma,17,Newton,,,Newton recieves a yellow card,2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
62,Corinthians,1,Matheus Bidu,,,"Matheus Bidu assists a goal (Cross, Key pass, Left footed, Open play)",2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
62,Corinthians,16,Rodrigo Garro,Matheus Bidu,2-1,"GOAL! Rodrigo Garro scores , Assisted by Matheus Bidu (High to the centre, 18-yard box, Left footed, Open play)",2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
63,Corinthians,18,Raniele,,,Raniele is substituted off,2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
63,Corinthians,19,Talles Magno,,,Talles Magno is substituted on,2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
65,Corinthians,1,Rodrigo Garro,,,"Rodrigo Garro assists a goal (Key pass, Open play)",2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
65,Corinthians,16,Matheus Bidu,Rodrigo Garro,2-2,"GOAL! Matheus Bidu scores , Assisted by Rodrigo Garro (Low to the right, Out of box, Left footed, Open play)",2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
66,Criciuma,18,Felipe Vizeu,,,Felipe Vizeu is substituted off,2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
66,Criciuma,19,Pedro Rocha,,,Pedro Rocha is substituted on,2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
66,Criciuma,18,Fellipe Mateus,,,Fellipe Mateus is substituted off,2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
66,Criciuma,19,Miguel Trauco,,,Miguel Trauco is substituted on,2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
74,Criciuma,18,Barreto,,,Barreto is substituted off,2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
74,Criciuma,19,Matheusinho,,,Matheusinho is substituted on,2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
74,Criciuma,18,Dudu,,,Dudu is substituted off,2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
74,Criciuma,19,Claudinho,,,Claudinho is substituted on,2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
74,Corinthians,18,André Carrillo,,,André Carrillo is substituted off,2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
74,Corinthians,19,Alex Santana,,,Alex Santana is substituted on,2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
74,Corinthians,18,Breno Bidon,,,Breno Bidon is substituted off,2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
74,Corinthians,19,José Martínez,,,José Martínez is substituted on,2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
76,Corinthians,17,José Martínez,,,José Martínez recieves a yellow card,2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
77,Criciuma,17,Rodrigo,,,Rodrigo recieves a yellow card,2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
77,Corinthians,17,Matheus França,,,Matheus França recieves a yellow card,2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
81,Corinthians,17,Gustavo Henrique,,,Gustavo Henrique recieves a yellow card,2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
82,Corinthians,18,Memphis Depay,,,Memphis Depay is substituted off,2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
82,Corinthians,19,Ángel Romero,,,Ángel Romero is substituted on,2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
82,Corinthians,18,Matheus Bidu,,,Matheus Bidu is substituted off,2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
82,Corinthians,19,Hugo,,,Hugo is substituted on,2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
83,Corinthians,1,Ángel Romero,,,"Ángel Romero assists a goal (Key pass, Fast break)",2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
83,Corinthians,16,Yuri Alberto,Ángel Romero,2-3,"GOAL! Yuri Alberto scores , Assisted by Ángel Romero (Low to the centre, 18-yard box, Big Chance, Right footed, Fast break)",2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
85,Criciuma,18,Ronald,,,Ronald is substituted off,2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
85,Criciuma,19,Arthur Caíke,,,Arthur Caíke is substituted on,2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
90+3,Corinthians,1,Ángel Romero,,,"Ángel Romero assists a goal (Key pass, Fast break)",2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
90+3,Corinthians,16,Yuri Alberto,Ángel Romero,2-4,"GOAL! Yuri Alberto scores , Assisted by Ángel Romero (Low to the left, 18-yard box, Big Chance, Right footed, Fast break)",2-4,"Sat, 30-Nov-24",Criciuma x Corinthians
21,Atletico GO,1,Derek,,,"Derek assists a goal (Key pass, Open play)",2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
21,Atletico GO,16,Luiz Fernando,Derek,0-1,"GOAL! Luiz Fernando scores , Assisted by Derek (Low to the right, 18-yard box, Right footed, Open play)",2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
46,Vasco da Gama,18,Rayan,,,Rayan is substituted off,2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
46,Vasco da Gama,19,Dimitri Payet,,,Dimitri Payet is substituted on,2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
46,Vasco da Gama,18,Lucas Piton,,,Lucas Piton is substituted off,2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
46,Vasco da Gama,19,Leandrinho,,,Leandrinho is substituted on,2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
46,Vasco da Gama,18,Maxsuell Alegria,,,Maxsuell Alegria is substituted off,2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
46,Vasco da Gama,19,Alex Teixeira,,,Alex Teixeira is substituted on,2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
46,Atletico GO,18,Guilherme Romão,,,Guilherme Romão is substituted off,2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
46,Atletico GO,19,Alejo Cruz,,,Alejo Cruz is substituted on,2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
48,Vasco da Gama,17,Hugo Moura,,,Hugo Moura recieves a yellow card,2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
50,Atletico GO,17,Rhaldney,,,Rhaldney recieves a yellow card,2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
56,Atletico GO,1,Shaylon,,,"Shaylon assists a goal (Key pass, Open play)",2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
56,Atletico GO,16,Luiz Fernando,Shaylon,0-2,"GOAL! Luiz Fernando scores , Assisted by Shaylon (Low to the left, 18-yard box, Big Chance, Right footed, Open play)",2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
63,Atletico GO,18,Derek,,,Derek is substituted off,2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
63,Atletico GO,19,Jan Hurtado,,,Jan Hurtado is substituted on,2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
70,Vasco da Gama,18,Philippe Coutinho,,,Philippe Coutinho is substituted off,2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
70,Vasco da Gama,19,Maxime Dominguez,,,Maxime Dominguez is substituted on,2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
73,Vasco da Gama,17,Dimitri Payet,,,Dimitri Payet recieves a yellow card,2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
75,Vasco da Gama,1,Alex Teixeira,,,"Alex Teixeira assists a goal (Key pass, Open play)",2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
75,Vasco da Gama,16,Maxime Dominguez,Alex Teixeira,1-2,"GOAL! Maxime Dominguez scores , Assisted by Alex Teixeira (Low to the left, 18-yard box, Big Chance, Right footed, Open play)",2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
78,Atletico GO,18,Gabriel Baralhas,,,Gabriel Baralhas is substituted off,2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
78,Atletico GO,19,Gonzalo Freitas,,,Gonzalo Freitas is substituted on,2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
83,Vasco da Gama,18,Hugo Moura,,,Hugo Moura is substituted off,2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
83,Vasco da Gama,19,Jair,,,Jair is substituted on,2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
85,Atletico GO,18,Rhaldney,,,Rhaldney is substituted off,2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
85,Atletico GO,19,Janderson,,,Janderson is substituted on,2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
85,Atletico GO,17,Luiz Fernando,,,Luiz Fernando recieves a yellow card,2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
86,Atletico GO,18,Luiz Fernando,,,Luiz Fernando is substituted off,2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
86,Atletico GO,19,Pedro Henrique,,,Pedro Henrique is substituted on,2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
86,Atletico GO,17,Luiz Fernando,,,Luiz Fernando recieves a red card after receiving second yellow card,2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
90+2,Vasco da Gama,1,Pablo Vegetti,,,"Pablo Vegetti assists a goal (Headed, Key pass, Open play)",2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
90+2,Vasco da Gama,16,Alex Teixeira,Pablo Vegetti,2-2,"GOAL! Alex Teixeira scores , Assisted by Pablo Vegetti (Low to the centre, 18-yard box, Big Chance, Left footed, Open play)",2-2,"Sun, 01-Dec-24",Vasco da Gama x Atletico GO
29,Flamengo,1,Nicolás de la Cruz,,,"Nicolás de la Cruz assists a goal (Corner, Off the ground, Cross, Key pass, Right footed, From corner)",3-2,"Sun, 01-Dec-24",Flamengo x Internacional
29,Flamengo,16,Léo Ortiz,Nicolás de la Cruz,1-0,"GOAL! Léo Ortiz scores , Assisted by Nicolás de la Cruz (High to the right, 18-yard box, Head, From corner)",3-2,"Sun, 01-Dec-24",Flamengo x Internacional
37,Flamengo,1,Alex Sandro,,,"Alex Sandro assists a goal (Key pass, Set piece)",3-2,"Sun, 01-Dec-24",Flamengo x Internacional
37,Flamengo,16,Michael,Alex Sandro,2-0,"GOAL! Michael scores , Assisted by Alex Sandro (Low to the centre, 6-yard box, Big Chance, Right footed, Set piece)",3-2,"Sun, 01-Dec-24",Flamengo x Internacional
41,Flamengo,16,Michael,,3-0,"GOAL! Michael scores  (Low to the left, 18-yard box, Big Chance, Right footed, Open play)",3-2,"Sun, 01-Dec-24",Flamengo x Internacional
45,Flamengo,17,Nicolás de la Cruz,,,Nicolás de la Cruz recieves a yellow card,3-2,"Sun, 01-Dec-24",Flamengo x Internacional
46,Internacional,17,Wesley,,,Wesley recieves a yellow card,3-2,"Sun, 01-Dec-24",Flamengo x Internacional
55,Internacional,1,Enner Valencia,,,"Enner Valencia assists a goal (Key pass, Open play)",3-2,"Sun, 01-Dec-24",Flamengo x Internacional
55,Internacional,16,Wesley,Enner Valencia,3-1,"GOAL! Wesley scores , Assisted by Enner Valencia (Low to the left, Out of box, Right footed, Open play)",3-2,"Sun, 01-Dec-24",Flamengo x Internacional
61,Internacional,18,Bruno Tabata,,,Bruno Tabata is substituted off,3-2,"Sun, 01-Dec-24",Flamengo x Internacional
61,Internacional,19,Gabriel Carvalho,,,Gabriel Carvalho is substituted on,3-2,"Sun, 01-Dec-24",Flamengo x Internacional
61,Internacional,18,Thiago Maia,,,Thiago Maia is substituted off,3-2,"Sun, 01-Dec-24",Flamengo x Internacional
61,Internacional,19,Rômulo,,,Rômulo is substituted on,3-2,"Sun, 01-Dec-24",Flamengo x Internacional
62,Internacional,1,Alexandro Bernabéi,,,"Alexandro Bernabéi assists a goal (Cross, Off the ground, Key pass, Left footed, Open play)",3-2,"Sun, 01-Dec-24",Flamengo x Internacional
62,Internacional,16,Enner Valencia,Alexandro Bernabéi,3-2,"GOAL! Enner Valencia scores , Assisted by Alexandro Bernabéi (Low to the right, 6-yard box, Big Chance, Head, Open play)",3-2,"Sun, 01-Dec-24",Flamengo x Internacional
63,Flamengo,17,Gerson,,,Gerson recieves a yellow card,3-2,"Sun, 01-Dec-24",Flamengo x Internacional
66,Internacional,17,Fernando,,,Fernando recieves a yellow card,3-2,"Sun, 01-Dec-24",Flamengo x Internacional
